timestamp,flow_rate,duration_seconds,hour_of_day,day_of_week,fixture_id,inlet_ratio,rate_variance,is_night_time,pulse_trend,known_anomaly
2026-07-01T12:36:34+08:00,10.66,485,12,2,3,1.068,3.657,0,0.517,0
2026-07-01T13:12:41+08:00,1.03,30,13,2,1,1.072,0.355,0,-0.866,0
2026-07-01T13:15:18+08:00,4.94,137,13,2,2,1.083,0.705,0,0.905,0
2026-07-01T14:31:37+08:00,2.51,39,14,2,1,1.001,0.815,0,1.235,0
2026-07-01T14:46:35+08:00,6.91,2027,14,2,3,1.149,0.352,0,1.814,0
2026-07-01T14:50:39+08:00,1.31,17,14,2,1,1.047,0.125,0,-0.422,0
2026-07-01T15:07:07+08:00,5.8,73,15,2,2,1.118,0.449,0,1.84,0
2026-07-01T15:18:57+08:00,6.87,44,15,2,2,1.11,2.146,0,-1.085,0
2026-07-01T15:20:32+08:00,1.58,125,15,2,1,1.037,0.424,0,-0.133,0
2026-07-01T15:31:45+08:00,9.16,169,15,2,3,1.131,1.273,0,-0.165,0
2026-07-01T16:05:38+08:00,7.05,68,16,2,0,1.028,2.161,0,-3.24,0
2026-07-01T16:20:39+08:00,9.31,217,16,2,3,1.051,0.743,0,-1.226,0
2026-07-01T16:37:08+08:00,3.19,121,16,2,1,1.147,1.004,0,-0.536,0
2026-07-01T16:40:23+08:00,10.41,270,16,2,3,1.113,1.917,0,-1.212,0
2026-07-01T16:42:12+08:00,4.4,105,16,2,2,1.077,1.439,0,-0.701,0
2026-07-01T16:54:35+08:00,6.4,531,16,2,2,1.094,1.842,0,0.916,0
2026-07-01T16:54:53+08:00,8.33,116,16,2,3,1.029,2.116,0,-0.172,0
2026-07-01T17:00:45+08:00,5.09,316,17,2,0,1.101,1.483,0,0.327,0
2026-07-01T17:13:43+08:00,8.99,845,17,2,3,1.143,3.139,0,1.248,0
2026-07-01T17:18:43+08:00,0.66,60,17,2,1,1.14,0.1,0,-0.223,0
2026-07-01T17:19:13+08:00,3.37,14,17,2,1,1.08,1.123,0,1.891,0
2026-07-01T17:33:07+08:00,9.99,200,17,2,3,1.147,3.467,0,-0.533,0
2026-07-01T17:36:04+08:00,8.69,97,17,2,2,1.094,0.57,0,1.154,0
2026-07-01T17:52:38+08:00,3.03,497,17,2,0,1.107,1.042,0,-0.374,0
2026-07-01T18:17:03+08:00,7.61,319,18,2,3,1.047,2.032,0,1.434,0
2026-07-01T18:19:13+08:00,9.87,180,18,2,3,1.119,3.435,0,0.848,0
2026-07-01T18:19:21+08:00,8.02,375,18,2,0,1.088,0.886,0,2.453,0
2026-07-01T18:29:01+08:00,2.9,119,18,2,0,1.098,0.419,0,-3.097,0
2026-07-01T19:14:36+08:00,4.32,61,19,2,0,1.059,0.223,0,0.377,0
2026-07-01T19:26:50+08:00,11.9,930,19,2,3,1.054,1.83,0,-0.042,0
2026-07-01T19:32:26+08:00,10.44,476,19,2,3,1.013,2.632,0,-2.218,0
2026-07-01T19:43:24+08:00,2.27,82,19,2,1,1.097,0.157,0,0.033,0
2026-07-01T19:47:31+08:00,2.26,24,19,2,1,1.059,0.229,0,0.936,0
2026-07-01T20:00:29+08:00,7.85,609,20,2,3,1.143,1.118,0,-1.259,0
2026-07-01T20:28:20+08:00,3.86,372,20,2,0,1.031,0.762,0,1.456,0
2026-07-01T20:48:58+08:00,4.7,481,20,2,0,1.111,1.106,0,-0.541,0
2026-07-01T21:25:08+08:00,8.16,186,21,2,0,1.092,1.833,0,0.219,0
2026-07-01T21:58:31+08:00,11.76,174,21,2,3,1.046,2.239,0,0.157,0
2026-07-01T22:37:21+08:00,7.18,378,22,2,3,1.051,1.525,1,1.511,0
2026-07-01T22:42:08+08:00,3.45,260,22,2,0,1.111,1.096,1,1.282,0
2026-07-01T22:44:19+08:00,4.05,313,22,2,0,1.134,0.542,1,1.035,0
2026-07-01T22:48:39+08:00,4.28,220,22,2,0,1.007,0.392,1,-2.999,0
2026-07-01T23:07:26+08:00,6.5,49,23,2,0,1.025,0.728,1,-0.35,0
2026-07-02T00:30:40+08:00,2.47,132,0,3,1,1.082,0.323,1,0.902,0
2026-07-02T05:51:51+08:00,0.05,56499,5,3,3,1.257,0.0,0,-0.0,1
2026-07-02T06:01:50+08:00,8.76,240,6,3,3,1.018,1.644,0,-1.814,0
2026-07-02T06:09:16+08:00,3.04,607,6,3,3,1.075,0.591,0,-0.086,0
2026-07-02T06:37:02+08:00,7.6,64,6,3,2,1.081,1.228,0,1.009,0
2026-07-02T06:42:49+08:00,2.06,283,6,3,0,1.004,0.261,0,0.211,0
2026-07-02T06:46:04+08:00,9.37,2006,6,3,3,1.111,1.763,0,-0.242,0
2026-07-02T07:08:24+08:00,7.33,84,7,3,0,1.116,1.953,0,-1.738,0
2026-07-02T07:08:42+08:00,4.64,48,7,3,0,1.051,0.529,0,-1.543,0
2026-07-02T07:11:06+08:00,6.53,470,7,3,2,1.069,1.769,0,-1.432,0
2026-07-02T07:45:59+08:00,3.45,357,7,3,0,1.071,0.842,0,0.652,0
2026-07-02T07:47:41+08:00,2.34,406,7,3,0,1.127,0.732,0,0.101,0
2026-07-02T08:02:58+08:00,6.7,266,8,3,2,1.083,1.338,0,-0.499,0
2026-07-02T08:03:18+08:00,2.31,333,8,3,3,1.029,0.29,0,0.488,0
2026-07-02T08:17:54+08:00,6.08,108,8,3,0,1.102,1.032,0,0.771,0
2026-07-02T08:42:49+08:00,7.21,124,8,3,2,1.01,0.458,0,0.516,0
2026-07-02T09:09:46+08:00,13.95,954,9,3,3,1.079,3.343,0,1.341,0
2026-07-02T09:48:58+08:00,8.08,1796,9,3,3,1.084,1.631,0,0.414,0
2026-07-02T10:04:55+08:00,1.24,31,10,3,1,1.101,0.223,0,-0.508,0
2026-07-02T11:02:55+08:00,11.45,68,11,3,3,1.041,2.851,0,0.923,0
2026-07-02T11:07:12+08:00,8.3,608,11,3,2,1.054,1.211,0,0.152,0
2026-07-02T11:17:07+08:00,2.19,66,11,3,2,1.143,0.378,0,1.884,0
2026-07-02T11:21:37+08:00,1.96,21,11,3,1,1.031,0.638,0,-0.693,0
2026-07-02T11:27:42+08:00,1.76,27,11,3,1,1.029,0.23,0,1.688,0
2026-07-02T11:46:04+08:00,4.65,138,11,3,2,1.094,0.238,0,-0.592,0
2026-07-02T11:49:26+08:00,3.42,42,11,3,1,1.146,0.51,0,1.281,0
2026-07-02T12:22:32+08:00,7.36,872,12,3,0,1.149,1.073,0,0.254,0
2026-07-02T12:26:08+08:00,7.44,137,12,3,0,1.043,2.218,0,-0.096,0
2026-07-02T12:26:32+08:00,2.67,34,12,3,0,1.14,0.704,0,-0.821,0
2026-07-02T12:47:42+08:00,2.95,49,12,3,0,1.057,1.016,0,-0.106,0
2026-07-02T13:09:29+08:00,5.21,30,13,3,2,1.036,1.244,0,0.176,0
2026-07-02T13:23:06+08:00,5.58,360,13,3,2,1.074,0.515,0,0.974,0
2026-07-02T13:39:26+08:00,7.89,1062,13,3,3,1.016,1.054,0,-2.902,0
2026-07-02T14:13:42+08:00,6.18,308,14,3,2,1.115,1.296,0,-0.616,0
2026-07-02T14:41:23+08:00,1.79,25,14,3,1,1.064,0.485,0,-0.297,0
2026-07-02T15:20:41+08:00,2.52,52,15,3,1,1.037,0.545,0,0.331,0
2026-07-02T16:27:36+08:00,3.05,419,16,3,2,1.068,0.202,0,0.715,0
2026-07-02T16:29:10+08:00,2.91,22,16,3,1,1.001,0.401,0,0.093,0
2026-07-02T17:08:22+08:00,2.82,112,17,3,3,1.098,0.527,0,0.598,0
2026-07-02T17:13:16+08:00,1.41,29,17,3,1,1.054,0.197,0,2.495,0
2026-07-02T17:17:47+08:00,6.42,329,17,3,0,1.124,1.27,0,0.151,0
2026-07-02T17:29:09+08:00,7.16,329,17,3,2,1.104,0.657,0,-1.623,0
2026-07-02T18:03:30+08:00,4.38,610,18,3,2,1.121,0.594,0,-1.598,0
2026-07-02T18:19:50+08:00,0.5,12,18,3,1,1.137,0.069,0,-0.032,0
2026-07-02T18:26:03+08:00,7.81,459,18,3,0,1.039,1.996,0,-2.596,0
2026-07-02T18:36:37+08:00,9.88,232,18,3,3,1.103,1.61,0,0.903,0
2026-07-02T18:40:34+08:00,2.3,584,18,3,0,1.085,0.188,0,1.344,0
2026-07-02T18:52:46+08:00,2.24,103,18,3,3,1.057,0.129,0,0.043,0
2026-07-02T19:02:23+08:00,3.85,416,19,3,0,1.092,0.282,0,0.856,0
2026-07-02T19:18:07+08:00,5.65,613,19,3,2,1.024,0.921,0,-0.881,0
2026-07-02T19:38:51+08:00,3.28,13,19,3,1,1.039,0.321,0,-0.152,0
2026-07-02T19:50:45+08:00,6.1,644,19,3,0,1.096,0.804,0,-0.862,0
2026-07-02T19:51:55+08:00,7.37,155,19,3,2,1.118,2.395,0,1.814,0
2026-07-02T19:57:33+08:00,5.03,573,19,3,2,1.07,1.72,0,-0.172,0
2026-07-02T20:09:56+08:00,11.53,419,20,3,3,1.043,2.902,0,-0.552,0
2026-07-02T20:17:54+08:00,2.63,146,20,3,0,1.104,0.61,0,-0.667,0
2026-07-02T20:37:20+08:00,11.1,300,20,3,3,1.045,1.297,0,-0.306,0
2026-07-02T20:45:12+08:00,3.57,38,20,3,1,1.075,1.045,0,1.798,0
2026-07-02T20:49:22+08:00,6.72,1662,20,3,3,1.129,1.47,0,-0.586,0
2026-07-02T20:58:22+08:00,3.42,13,20,3,1,1.104,0.753,0,0.502,0
2026-07-02T20:59:06+08:00,3.33,236,20,3,0,1.016,0.572,0,-0.559,0
2026-07-02T21:28:19+08:00,6.67,55,21,3,2,1.146,2.044,0,1.253,0
2026-07-02T21:30:35+08:00,10.34,345,21,3,0,1.032,2.3,0,-0.133,0
2026-07-02T21:44:41+08:00,7.98,101,21,3,3,1.126,2.696,0,0.611,0
2026-07-02T21:57:17+08:00,11.39,105,21,3,3,1.051,2.265,0,-0.991,0
2026-07-02T22:03:09+08:00,8.62,228,22,3,3,1.087,1.349,1,0.374,0
2026-07-02T22:18:06+08:00,5.02,235,22,3,2,1.097,0.808,1,-0.134,0
2026-07-02T22:32:21+08:00,2.7,29,22,3,1,1.097,0.165,1,-2.581,0
2026-07-02T23:18:08+08:00,1.88,113,23,3,1,1.029,0.443,1,2.269,0
2026-07-02T23:22:41+08:00,8.31,501,23,3,3,1.011,2.898,1,-0.76,0
2026-07-02T23:43:13+08:00,3.11,82,23,3,1,1.148,0.635,1,0.327,0
2026-07-03T03:00:41+08:00,17.98,2152,3,4,3,1.023,1.796,1,0.665,1
2026-07-03T04:34:04+08:00,22.93,901,4,4,2,1.056,3.143,1,0.167,1
2026-07-03T04:45:15+08:00,5.62,30,4,4,0,1.118,1.223,1,0.532,0
2026-07-03T06:27:51+08:00,3.28,294,6,4,2,1.1,0.441,0,-0.214,0
2026-07-03T06:38:10+08:00,8.55,416,6,4,3,1.093,1.963,0,1.09,0
2026-07-03T06:47:00+08:00,6.29,141,6,4,2,1.064,1.772,0,0.74,0
2026-07-03T06:51:12+08:00,12.31,76,6,4,3,1.068,3.195,0,-2.105,0
2026-07-03T06:54:51+08:00,1.82,43,6,4,1,1.028,0.579,0,2.669,0
2026-07-03T06:55:53+08:00,4.67,493,6,4,0,1.045,0.75,0,1.258,0
2026-07-03T07:02:19+08:00,7.38,41,7,4,2,1.06,0.784,0,-0.279,0
2026-07-03T07:17:12+08:00,4.55,234,7,4,2,1.053,1.006,0,0.013,0
2026-07-03T07:25:18+08:00,11.34,208,7,4,0,1.111,1.51,0,0.053,0
2026-07-03T07:28:52+08:00,3.91,146,7,4,0,1.124,0.65,0,-1.874,0
2026-07-03T07:33:38+08:00,8.86,297,7,4,2,1.145,2.952,0,-1.096,0
2026-07-03T07:39:42+08:00,2.84,216,7,4,2,1.037,0.934,0,-1.287,0
2026-07-03T08:01:47+08:00,2.18,238,8,4,1,1.126,0.293,0,-0.839,0
2026-07-03T08:19:38+08:00,2.07,20,8,4,1,1.128,0.656,0,1.445,0
2026-07-03T08:25:03+08:00,7.73,81,8,4,2,1.01,0.681,0,0.736,0
2026-07-03T08:30:59+08:00,8.85,454,8,4,3,1.034,0.508,0,0.203,0
2026-07-03T08:35:46+08:00,2.64,30,8,4,1,1.102,0.236,0,1.911,0
2026-07-03T08:53:55+08:00,2.61,128,8,4,1,1.11,0.611,0,0.121,0
2026-07-03T09:01:37+08:00,10.09,185,9,4,3,1.036,2.262,0,3.394,0
2026-07-03T09:37:45+08:00,0.94,122,9,4,1,1.033,0.081,0,0.028,0
2026-07-03T09:43:10+08:00,2.45,103,9,4,1,1.09,0.628,0,-1.639,0
2026-07-03T11:05:37+08:00,8.71,21,11,4,2,1.081,2.78,0,-0.244,0
2026-07-03T11:26:54+08:00,5.53,194,11,4,0,1.04,0.425,0,1.327,0
2026-07-03T11:36:01+08:00,3.76,213,11,4,0,1.12,0.316,0,1.533,0
2026-07-03T11:39:57+08:00,3.26,56,11,4,1,1.109,0.431,0,1.437,0
2026-07-03T12:30:59+08:00,8.38,873,12,4,3,1.082,2.872,0,0.675,0
2026-07-03T12:38:43+08:00,5.51,242,12,4,2,1.149,0.383,0,-3.447,0
2026-07-03T12:52:51+08:00,6.2,289,12,4,0,1.142,1.362,0,-0.084,0
2026-07-03T12:56:11+08:00,5.87,185,12,4,2,1.06,0.68,0,0.705,0
2026-07-03T12:56:38+08:00,6.17,401,12,4,0,1.017,0.855,0,-1.701,0
2026-07-03T13:08:50+08:00,6.88,282,13,4,3,1.01,1.376,0,0.193,0
2026-07-03T13:38:19+08:00,12.29,1525,13,4,3,1.006,4.239,0,0.467,0
2026-07-03T14:00:39+08:00,8.76,523,14,4,3,1.03,0.627,0,-0.016,0
2026-07-03T14:18:01+08:00,7.39,477,14,4,0,1.035,1.538,0,2.705,0
2026-07-03T14:48:07+08:00,4.93,94,14,4,0,1.129,1.243,0,1.084,0
2026-07-03T15:35:28+08:00,6.06,359,15,4,2,1.021,0.936,0,-0.633,0
2026-07-03T15:36:31+08:00,5.01,403,15,4,0,1.057,0.805,0,1.458,0
2026-07-03T17:00:36+08:00,2.3,91,17,4,1,1.111,0.471,0,0.699,0
2026-07-03T17:01:02+08:00,2.21,8,17,4,1,1.068,0.705,0,1.48,0
2026-07-03T17:21:57+08:00,4.6,228,17,4,2,1.116,1.31,0,1.317,0
2026-07-03T17:24:09+08:00,7.44,360,17,4,2,1.03,1.979,0,0.272,0
2026-07-03T17:44:59+08:00,11.34,174,17,4,3,1.076,0.844,0,-0.471,0
2026-07-03T17:46:15+08:00,5.65,24,17,4,2,1.116,0.985,0,-1.318,0
2026-07-03T18:26:00+08:00,0.83,6644,18,4,0,3.707,0.03,0,-0.037,1
2026-07-03T18:32:07+08:00,9.63,156,18,4,2,1.105,2.221,0,1.159,0
2026-07-03T18:36:57+08:00,8.49,645,18,4,0,1.07,2.567,0,-0.514,0
2026-07-03T18:40:10+08:00,2.71,178,18,4,0,1.033,0.656,0,1.054,0
2026-07-03T18:46:55+08:00,6.44,171,18,4,0,1.149,1.836,0,-0.88,0
2026-07-03T19:05:20+08:00,5.9,80,19,4,2,1.086,0.659,0,0.48,0
2026-07-03T19:07:35+08:00,2.64,87,19,4,1,1.099,0.756,0,-3.313,0
2026-07-03T19:09:40+08:00,6.11,107,19,4,2,1.002,0.52,0,-2.016,0
2026-07-03T19:16:12+08:00,2.89,8,19,4,1,1.057,0.569,0,-0.156,0
2026-07-03T19:27:13+08:00,5.05,242,19,4,2,1.092,1.471,0,0.265,0
2026-07-03T19:39:44+08:00,2.49,51,19,4,1,1.121,0.207,0,-0.86,0
2026-07-03T19:43:24+08:00,0.3,281,19,4,0,1.114,0.025,0,-0.414,0
2026-07-03T20:06:57+08:00,4.81,97,20,4,2,1.033,0.602,0,-0.119,0
2026-07-03T21:57:53+08:00,0.09,786,21,4,0,1.007,0.016,0,-0.013,0
2026-07-03T22:04:16+08:00,5.34,54,22,4,0,1.146,0.775,1,-2.366,0
2026-07-03T22:48:58+08:00,2.72,12,22,4,1,1.112,0.235,1,-0.121,0
2026-07-03T22:51:33+08:00,6.54,121,22,4,0,1.018,1.05,1,-0.338,0
2026-07-03T23:37:22+08:00,2.21,88,23,4,1,1.046,0.433,1,-0.168,0
2026-07-04T01:18:24+08:00,23.26,747,1,5,1,1.092,3.086,1,-0.224,1
2026-07-04T01:40:08+08:00,6.97,273,1,5,2,1.132,0.467,1,-1.609,0
2026-07-04T02:43:27+08:00,0.07,45951,2,5,1,1.481,0.0,1,-0.163,1
2026-07-04T03:57:10+08:00,7.0,385,3,5,0,1.066,1.085,1,0.027,0
2026-07-04T06:04:05+08:00,1.56,38,6,5,1,1.061,0.247,0,-1.127,0
2026-07-04T06:06:27+08:00,5.16,48,6,5,2,1.13,1.625,0,0.215,0
2026-07-04T06:15:23+08:00,7.35,315,6,5,3,1.027,1.418,0,1.777,0
2026-07-04T06:25:39+08:00,9.74,241,6,5,3,1.052,0.913,0,-0.339,0
2026-07-04T06:49:25+08:00,6.42,85,6,5,2,1.135,2.228,0,-1.201,0
2026-07-04T07:07:58+08:00,5.11,68,7,5,2,1.016,0.818,0,-0.719,0
2026-07-04T07:25:11+08:00,3.02,121,7,5,1,1.078,0.192,0,-0.599,0
2026-07-04T07:35:41+08:00,5.32,1020,7,5,2,1.145,0.571,0,-1.477,0
2026-07-04T07:39:59+08:00,9.75,1022,7,5,3,1.104,3.177,0,-0.537,0
2026-07-04T08:19:47+08:00,2.91,27,8,5,1,1.065,0.305,0,-0.686,0
2026-07-04T08:23:03+08:00,10.91,219,8,5,0,1.057,0.901,0,0.265,0
2026-07-04T08:31:45+08:00,4.99,147,8,5,2,1.017,0.922,0,1.052,0
2026-07-04T08:31:48+08:00,4.98,216,8,5,0,1.035,0.582,0,0.216,0
2026-07-04T08:42:29+08:00,3.64,14,8,5,1,1.032,1.235,0,-0.343,0
2026-07-04T08:47:00+08:00,5.29,367,8,5,0,1.12,0.361,0,-0.634,0
2026-07-04T09:01:55+08:00,2.14,414,9,5,0,1.053,0.206,0,-2.836,0
2026-07-04T09:17:48+08:00,7.6,2714,9,5,3,1.132,2.47,0,1.501,0
2026-07-04T09:41:45+08:00,11.07,130,9,5,3,1.114,1.399,0,-1.511,0
2026-07-04T09:53:57+08:00,8.35,267,9,5,2,1.148,0.956,0,2.15,0
2026-07-04T10:02:55+08:00,2.74,34,10,5,1,1.102,0.51,0,3.316,0
2026-07-04T10:14:28+08:00,7.31,89,10,5,3,1.052,0.461,0,-1.07,0
2026-07-04T10:17:52+08:00,0.82,37,10,5,1,1.119,0.098,0,1.282,0
2026-07-04T10:41:00+08:00,8.77,1426,10,5,3,1.113,2.404,0,-2.214,0
2026-07-04T11:00:36+08:00,1.37,36,11,5,1,1.015,0.353,0,0.0,0
2026-07-04T11:26:47+08:00,5.86,159,11,5,2,1.018,1.585,0,0.522,0
2026-07-04T11:55:18+08:00,4.84,101,11,5,0,1.0,0.624,0,0.668,0
2026-07-04T12:04:29+08:00,2.39,51,12,5,1,1.101,0.649,0,0.14,0
2026-07-04T12:22:24+08:00,2.5,37,12,5,1,1.142,0.177,0,-1.437,0
2026-07-04T14:49:59+08:00,4.36,861,14,5,0,1.004,0.244,0,-0.85,0
2026-07-04T15:23:36+08:00,3.65,27,15,5,1,1.102,0.591,0,1.369,0
2026-07-04T15:32:54+08:00,7.95,328,15,5,3,1.047,2.088,0,1.88,0
2026-07-04T16:01:39+08:00,1.51,19,16,5,1,1.073,0.157,0,0.265,0
2026-07-04T16:31:51+08:00,9.59,161,16,5,3,1.019,1.438,0,-0.22,0
2026-07-04T17:05:10+08:00,6.12,27,17,5,2,1.109,1.022,0,-0.961,0
2026-07-04T17:12:07+08:00,11.49,227,17,5,3,1.059,0.801,0,-1.574,0
2026-07-04T17:13:06+08:00,4.4,328,17,5,2,1.095,0.263,0,0.904,0
2026-07-04T17:55:33+08:00,3.92,448,17,5,3,1.055,0.835,0,1.827,0
2026-07-04T18:12:17+08:00,4.91,219,18,5,2,1.094,0.971,0,1.494,0
2026-07-04T18:13:08+08:00,2.6,56,18,5,1,1.086,0.299,0,-0.06,0
2026-07-04T18:13:33+08:00,7.1,309,18,5,2,1.02,1.56,0,-1.574,0
2026-07-04T18:32:02+08:00,11.0,96,18,5,3,1.111,2.056,0,0.84,0
2026-07-04T18:37:21+08:00,9.72,468,18,5,3,1.148,2.582,0,-0.293,0
2026-07-04T18:48:36+08:00,3.17,13,18,5,1,1.083,0.703,0,-0.464,0
2026-07-04T19:03:46+08:00,5.93,171,19,5,0,1.062,0.562,0,-0.324,0
2026-07-04T19:06:41+08:00,5.37,236,19,5,2,1.053,0.925,0,1.292,0
2026-07-04T19:26:56+08:00,5.37,41,19,5,2,1.074,1.52,0,-2.333,0
2026-07-04T19:39:02+08:00,1.45,9,19,5,1,1.002,0.461,0,2.329,0
2026-07-04T19:39:30+08:00,2.7,11,19,5,1,1.047,0.465,0,1.667,0
2026-07-04T19:53:14+08:00,7.7,202,19,5,3,1.099,2.323,0,3.419,0
2026-07-04T20:06:36+08:00,11.57,359,20,5,3,1.105,2.337,0,0.907,0
2026-07-04T20:13:39+08:00,5.19,78,20,5,2,1.015,1.763,0,1.038,0
2026-07-04T20:20:07+08:00,7.62,283,20,5,3,1.051,1.185,0,0.226,0
2026-07-04T20:35:33+08:00,8.1,259,20,5,2,1.134,1.689,0,0.992,0
2026-07-04T21:13:56+08:00,3.04,88,21,5,1,1.144,0.467,0,1.699,0
2026-07-04T22:03:53+08:00,5.37,236,22,5,2,1.074,1.02,1,0.026,0
2026-07-04T22:42:34+08:00,10.91,320,22,5,3,1.149,2.244,1,-0.331,0
2026-07-04T22:51:59+08:00,2.42,8,22,5,1,1.0,0.649,1,1.587,0
2026-07-04T22:58:26+08:00,9.31,580,22,5,3,1.069,2.332,1,-0.59,0
2026-07-05T00:22:02+08:00,9.92,387,0,6,3,1.032,3.212,1,0.241,0
2026-07-05T02:22:29+08:00,0.07,54933,2,6,3,1.442,0.0,1,0.066,1
2026-07-05T03:10:41+08:00,5.49,293,3,6,0,1.113,1.08,1,-1.347,0
2026-07-05T03:20:15+08:00,7.6,35,3,6,2,1.036,2.158,1,-0.481,0
2026-07-05T06:00:41+08:00,7.56,597,6,6,3,1.03,0.66,0,0.445,0
2026-07-05T06:04:21+08:00,8.31,104,6,6,0,1.02,1.556,0,0.147,0
2026-07-05T06:04:32+08:00,4.8,63,6,6,3,1.096,1.036,0,-1.31,0
2026-07-05T06:16:04+08:00,10.52,199,6,6,3,1.093,3.662,0,-0.834,0
2026-07-05T06:26:34+08:00,0.81,29,6,6,1,1.096,0.257,0,0.757,0
2026-07-05T06:35:56+08:00,3.81,39,6,6,0,1.013,0.994,0,-0.544,0
2026-07-05T06:43:07+08:00,6.87,26,6,6,2,1.134,1.277,0,0.025,0
2026-07-05T06:52:55+08:00,44.31,15,6,6,2,0.978,24.912,0,6.348,1
2026-07-05T06:55:37+08:00,9.18,542,6,6,3,1.057,2.415,0,-1.543,0
2026-07-05T07:06:54+08:00,9.76,364,7,6,3,1.041,3.125,0,1.332,0
2026-07-05T07:28:58+08:00,2.68,93,7,6,0,1.039,0.634,0,-1.677,0
2026-07-05T08:17:49+08:00,5.17,34,8,6,0,1.031,0.869,0,-0.162,0
2026-07-05T08:31:39+08:00,1.25,8,8,6,1,1.118,0.321,0,-0.164,0
2026-07-05T08:45:50+08:00,8.42,178,8,6,0,1.043,1.042,0,-1.691,0
2026-07-05T09:05:04+08:00,8.43,210,9,6,2,1.046,1.106,0,1.76,0
2026-07-05T09:10:26+08:00,7.0,75,9,6,0,1.147,1.129,0,0.407,0
2026-07-05T09:23:18+08:00,2.13,61,9,6,1,1.054,0.606,0,1.94,0
2026-07-05T09:43:29+08:00,9.92,420,9,6,3,1.115,1.347,0,1.543,0
2026-07-05T10:05:44+08:00,6.13,170,10,6,2,1.089,1.603,0,0.681,0
2026-07-05T10:06:02+08:00,2.28,57,10,6,1,1.038,0.61,0,1.694,0
2026-07-05T10:25:33+08:00,7.33,86,10,6,0,1.114,2.557,0,-0.864,0
2026-07-05T10:35:45+08:00,2.55,643,10,6,0,1.097,0.587,0,2.358,0
2026-07-05T10:39:58+08:00,4.43,27,10,6,2,1.067,0.732,0,-0.297,0
2026-07-05T10:42:34+08:00,5.27,1570,10,6,3,1.142,1.103,0,1.941,0
2026-07-05T10:59:42+08:00,5.6,64,10,6,2,1.016,1.89,0,0.312,0
