timestamp,flow_rate,duration_seconds,hour_of_day,day_of_week,fixture_id,inlet_ratio,rate_variance,is_night_time,pulse_trend,label
2026-07-01T08:22:05+08:00,1.08,49,8,2,1,1.092,0.247,0,-0.147,0
2026-07-01T08:23:00+08:00,2.31,26,8,2,1,1.111,0.258,0,-2.949,0
2026-07-01T08:25:30+08:00,5.62,1191,8,2,3,1.023,1.876,0,0.887,0
2026-07-01T08:26:01+08:00,8.32,84,8,2,0,1.037,2.685,0,0.352,0
2026-07-01T08:58:58+08:00,5.59,54,8,2,2,1.121,1.194,0,0.414,0
2026-07-01T09:03:17+08:00,18.95,330,9,2,2,1.157,0.347,0,0.017,2
2026-07-01T09:14:54+08:00,1.66,41,9,2,1,1.147,0.406,0,-1.592,0
2026-07-01T09:21:58+08:00,20.85,554,9,2,1,1.022,1.103,0,0.347,2
2026-07-01T09:50:09+08:00,5.25,60,9,2,0,1.046,0.852,0,1.415,0
2026-07-01T10:05:19+08:00,2.38,392,10,2,0,1.109,0.539,0,1.269,0
2026-07-01T10:31:32+08:00,2.74,596,10,2,3,1.065,0.856,0,-0.809,0
2026-07-01T10:45:21+08:00,3.55,28,10,2,1,1.117,0.308,0,0.774,0
2026-07-01T10:56:59+08:00,0.38,6891,10,2,2,1.11,0.017,0,0.325,1
2026-07-01T11:12:12+08:00,4.7,169,11,2,0,1.095,1.52,0,-0.224,0
2026-07-01T11:33:37+08:00,7.95,48,11,2,2,1.046,1.215,0,-1.37,0
2026-07-01T11:35:55+08:00,7.39,461,11,2,2,1.119,1.987,0,1.42,0
2026-07-01T11:36:30+08:00,6.42,271,11,2,0,1.125,0.779,0,-0.026,0
2026-07-01T11:41:34+08:00,7.54,307,11,2,0,1.123,2.409,0,-1.297,0
2026-07-01T12:07:04+08:00,1.94,102,12,2,0,1.111,0.418,0,-1.694,0
2026-07-01T12:29:51+08:00,4.13,82,12,2,2,1.113,0.694,0,-0.416,0
2026-07-01T12:36:31+08:00,6.98,883,12,2,3,1.058,0.822,0,0.356,0
2026-07-01T12:51:24+08:00,0.11,5380,12,2,3,1.274,0.005,0,-0.208,1
2026-07-01T13:32:47+08:00,1.69,1204,13,2,3,1.075,0.221,0,1.021,0
2026-07-01T13:43:59+08:00,2.0,23,13,2,1,1.035,0.46,0,0.51,0
2026-07-01T13:51:30+08:00,5.76,296,13,2,2,1.117,1.867,0,0.554,0
2026-07-01T14:05:34+08:00,3.26,14,14,2,1,1.024,0.633,0,0.648,0
2026-07-01T15:05:53+08:00,9.32,183,15,2,0,1.129,0.745,0,-1.494,0
2026-07-01T15:05:59+08:00,3.79,95,15,2,1,1.015,0.932,0,0.994,0
2026-07-01T15:17:50+08:00,1.87,197,15,2,0,1.003,0.463,0,-0.272,0
2026-07-01T15:23:12+08:00,8.54,109,15,2,0,1.127,1.265,0,0.563,0
2026-07-01T15:40:04+08:00,6.64,552,15,2,2,1.025,2.236,0,1.348,0
2026-07-01T15:57:49+08:00,1.9,53,15,2,0,1.099,0.61,0,-0.393,0
2026-07-01T15:59:22+08:00,10.36,105,15,2,0,1.133,3.313,0,0.628,0
2026-07-01T16:13:21+08:00,0.46,749,16,2,2,1.173,0.003,0,0.012,1
2026-07-01T16:15:54+08:00,5.86,265,16,2,2,1.018,0.717,0,-0.214,0
2026-07-01T16:33:49+08:00,6.88,77,16,2,2,1.134,1.552,0,1.246,0
2026-07-01T17:03:16+08:00,2.53,86,17,2,3,1.046,0.454,0,1.575,0
2026-07-01T17:07:18+08:00,3.67,150,17,2,1,1.045,1.274,0,1.072,0
2026-07-01T17:13:59+08:00,1.64,93,17,2,1,1.039,0.128,0,0.114,0
2026-07-01T17:24:10+08:00,6.45,57,17,2,2,1.091,1.911,0,0.782,0
2026-07-01T17:29:01+08:00,3.13,46,17,2,1,1.114,0.385,0,2.085,0
2026-07-01T17:29:33+08:00,3.42,262,17,2,0,1.015,0.84,0,0.283,0
2026-07-01T17:35:30+08:00,6.26,169,17,2,2,1.144,0.416,0,-1.255,0
2026-07-01T17:42:52+08:00,3.33,62,17,2,1,1.092,1.153,0,1.902,0
2026-07-01T17:44:51+08:00,8.22,276,17,2,3,1.07,2.365,0,-1.497,0
2026-07-01T17:48:04+08:00,3.14,317,17,2,3,1.015,1.067,0,0.334,0
2026-07-01T17:48:09+08:00,5.65,325,17,2,2,1.133,1.814,0,-0.442,0
2026-07-01T17:54:26+08:00,5.34,212,17,2,0,1.099,0.377,0,-0.14,0
2026-07-01T17:58:22+08:00,6.09,181,17,2,2,1.13,1.395,0,-1.217,0
2026-07-01T18:04:36+08:00,3.73,77,18,2,2,1.099,1.08,0,-0.253,0
2026-07-01T18:07:35+08:00,0.84,24,18,2,1,1.043,0.088,0,1.331,0
2026-07-01T18:16:35+08:00,8.42,240,18,2,3,1.007,2.605,0,0.731,0
2026-07-01T18:27:04+08:00,2.39,101,18,2,1,1.143,0.735,0,0.782,0
2026-07-01T18:41:00+08:00,21.19,2207,18,2,2,1.093,0.95,0,0.832,2
2026-07-01T18:42:28+08:00,3.36,30,18,2,1,1.142,0.802,0,-0.763,0
2026-07-01T18:47:06+08:00,2.35,27,18,2,1,1.054,0.437,0,1.248,0
2026-07-01T19:03:01+08:00,8.81,273,19,2,3,1.049,2.763,0,-2.404,0
2026-07-01T19:15:53+08:00,2.97,61,19,2,0,1.03,1.012,0,1.676,0
2026-07-01T19:16:10+08:00,1.61,81,19,2,1,1.009,0.468,0,0.427,0
2026-07-01T19:25:59+08:00,14.02,460,19,2,3,1.14,0.982,0,-1.58,0
2026-07-01T20:04:06+08:00,7.61,63,20,2,2,1.007,1.871,0,0.858,0
2026-07-01T20:15:02+08:00,7.77,42,20,2,2,1.111,0.394,0,-1.108,0
2026-07-01T20:19:36+08:00,3.67,692,20,2,0,1.144,1.202,0,0.846,0
2026-07-01T20:20:08+08:00,1.56,72,20,2,1,1.032,0.248,0,-0.325,0
2026-07-01T20:44:10+08:00,6.38,182,20,2,0,1.015,1.984,0,-1.883,0
2026-07-01T20:51:43+08:00,6.29,214,20,2,2,1.091,1.307,0,0.979,0
2026-07-01T21:00:55+08:00,6.88,254,21,2,3,1.107,0.748,0,-0.523,0
2026-07-01T21:06:38+08:00,8.06,51,21,2,2,1.007,2.654,0,-0.277,0
2026-07-01T21:25:57+08:00,8.9,371,21,2,3,1.106,2.486,0,-0.43,0
2026-07-01T21:42:03+08:00,0.48,1161,21,2,1,1.289,0.007,0,0.074,1
2026-07-01T21:44:59+08:00,8.77,540,21,2,3,1.091,1.351,0,0.557,0
2026-07-01T21:50:59+08:00,9.22,52,21,2,2,1.096,2.1,0,-0.953,0
2026-07-01T22:54:56+08:00,8.3,918,22,2,3,1.058,2.332,1,0.091,0
2026-07-01T23:04:12+08:00,10.65,199,23,2,3,1.145,3.132,1,1.303,0
2026-07-01T23:19:44+08:00,2.3,25,23,2,1,1.027,0.44,1,-1.327,0
2026-07-01T23:36:20+08:00,4.63,284,23,2,2,1.113,0.916,1,0.251,0
2026-07-02T00:04:51+08:00,7.08,65,0,3,2,1.123,0.862,1,0.023,0
2026-07-02T00:18:38+08:00,1.24,28,0,3,1,1.068,0.42,1,-0.615,0
2026-07-02T03:56:30+08:00,15.93,2075,3,3,3,1.168,0.296,1,-0.114,2
2026-07-02T04:13:35+08:00,0.47,973,4,3,2,1.29,0.017,1,-0.098,1
2026-07-02T06:00:42+08:00,6.31,133,6,3,2,1.076,1.2,0,-1.012,0
2026-07-02T06:11:14+08:00,0.19,1348,6,3,2,1.189,0.008,0,-0.285,1
2026-07-02T06:17:19+08:00,6.25,61,6,3,0,1.086,1.403,0,-1.044,0
2026-07-02T06:19:04+08:00,5.85,229,6,3,2,1.008,1.844,0,-0.028,0
2026-07-02T06:19:31+08:00,1.91,62,6,3,1,1.097,0.162,0,-1.008,0
2026-07-02T06:35:29+08:00,6.23,147,6,3,2,1.146,1.189,0,1.252,0
2026-07-02T06:37:03+08:00,2.15,18,6,3,1,1.002,0.692,0,-2.207,0
2026-07-02T06:49:07+08:00,2.74,82,6,3,1,1.069,0.139,0,-0.546,0
2026-07-02T06:51:44+08:00,4.25,70,6,3,0,1.032,1.031,0,2.69,0
2026-07-02T06:53:54+08:00,6.42,26,6,3,2,1.023,0.69,0,1.316,0
2026-07-02T06:58:46+08:00,10.82,877,6,3,3,1.028,1.786,0,1.047,0
2026-07-02T07:10:11+08:00,2.45,643,7,3,0,1.085,0.743,0,-0.502,0
2026-07-02T07:18:24+08:00,2.12,20,7,3,1,1.018,0.392,0,-0.053,0
2026-07-02T07:34:11+08:00,3.92,342,7,3,2,1.024,0.64,0,0.761,0
2026-07-02T07:34:44+08:00,2.81,171,7,3,0,1.024,0.42,0,0.189,0
2026-07-02T07:38:12+08:00,3.56,35,7,3,1,1.07,1.118,0,1.014,0
2026-07-02T07:41:15+08:00,9.46,214,7,3,3,1.091,1.945,0,0.695,0
2026-07-02T07:59:28+08:00,1.02,490,7,3,0,1.131,0.235,0,-0.896,0
2026-07-02T08:08:25+08:00,7.71,273,8,3,3,1.131,0.844,0,1.018,0
2026-07-02T08:20:22+08:00,9.97,431,8,3,0,1.011,0.878,0,0.179,0
2026-07-02T08:27:40+08:00,1.59,177,8,3,2,1.042,0.35,0,1.031,0
2026-07-02T08:35:16+08:00,8.07,431,8,3,0,1.087,2.266,0,-1.375,0
2026-07-02T08:47:11+08:00,2.66,141,8,3,1,1.068,0.784,0,0.72,0
2026-07-02T08:48:39+08:00,2.78,29,8,3,1,1.09,0.954,0,1.092,0
2026-07-02T08:50:44+08:00,10.62,200,8,3,0,1.143,1.871,0,0.071,0
2026-07-02T09:23:24+08:00,8.95,228,9,3,2,1.05,0.147,0,0.302,2
2026-07-02T09:48:08+08:00,1.83,26,9,3,1,1.068,0.233,0,1.534,0
2026-07-02T09:54:08+08:00,0.31,930,9,3,3,1.099,0.008,0,-0.313,1
2026-07-02T09:58:49+08:00,10.66,564,9,3,3,1.113,1.452,0,-0.929,0
2026-07-02T10:04:43+08:00,1.61,12,10,3,1,1.136,0.418,0,1.141,0
2026-07-02T10:37:33+08:00,1.78,30,10,3,1,1.063,0.619,0,-2.266,0
2026-07-02T10:45:37+08:00,0.21,6166,10,3,2,1.12,0.01,0,0.26,1
2026-07-02T10:46:55+08:00,4.86,251,10,3,0,1.064,1.25,0,-0.87,0
2026-07-02T11:21:39+08:00,8.66,20,11,3,2,1.084,0.569,0,0.382,0
2026-07-02T11:31:27+08:00,1.65,231,11,3,2,1.032,0.279,0,-0.168,0
2026-07-02T11:33:26+08:00,2.02,11,11,3,1,1.052,0.143,0,0.868,0
2026-07-02T11:48:41+08:00,6.72,31,11,3,2,1.056,1.601,0,-0.048,0
2026-07-02T12:13:29+08:00,9.35,98,12,3,3,1.085,0.852,0,-0.058,0
2026-07-02T12:31:55+08:00,2.04,34,12,3,1,1.121,0.473,0,-2.412,0
2026-07-02T13:08:18+08:00,12.26,633,13,3,3,1.023,0.802,0,-0.854,0
2026-07-02T13:20:29+08:00,8.92,262,13,3,3,1.146,1.111,0,2.216,0
2026-07-02T13:26:42+08:00,11.58,447,13,3,3,1.123,2.831,0,0.26,0
2026-07-02T13:26:57+08:00,8.35,1133,13,3,3,1.065,1.68,0,0.483,0
2026-07-02T13:32:10+08:00,2.99,22,13,3,1,1.04,0.542,0,-3.266,0
2026-07-02T13:37:39+08:00,0.82,123,13,3,0,1.135,0.25,0,-0.163,0
2026-07-02T14:20:19+08:00,0.18,1994,14,3,2,1.212,0.008,0,0.023,1
2026-07-02T14:31:30+08:00,9.0,1205,14,3,3,1.143,0.851,0,-0.557,0
2026-07-02T15:08:55+08:00,1.17,164,15,3,1,1.006,0.277,0,-1.01,0
2026-07-02T15:11:33+08:00,2.13,8,15,3,1,1.141,0.652,0,0.206,0
2026-07-02T15:35:59+08:00,2.51,780,15,3,0,1.02,0.501,0,0.538,0
2026-07-02T15:43:17+08:00,9.16,1718,15,3,3,1.147,1.59,0,0.073,0
2026-07-02T15:56:13+08:00,5.5,65,15,3,2,1.011,1.816,0,-1.137,0
2026-07-02T16:03:18+08:00,8.13,299,16,3,3,1.069,0.994,0,0.009,0
2026-07-02T16:17:00+08:00,0.36,691,16,3,2,1.025,0.012,0,0.042,1
2026-07-02T16:47:48+08:00,0.22,2684,16,3,1,1.208,0.005,0,0.282,1
2026-07-02T16:59:22+08:00,1.9,125,16,3,2,1.029,0.169,0,-0.474,0
2026-07-02T17:08:23+08:00,2.03,118,17,3,0,1.111,0.564,0,-1.707,0
2026-07-02T17:11:14+08:00,7.14,334,17,3,2,1.086,0.613,0,-0.532,0
2026-07-02T17:18:03+08:00,2.39,71,17,3,1,1.11,0.325,0,-1.566,0
2026-07-02T17:39:47+08:00,2.78,43,17,3,1,1.141,0.769,0,-0.131,0
2026-07-02T17:42:19+08:00,0.17,777,17,3,2,1.044,0.003,0,-0.298,1
2026-07-02T17:46:31+08:00,5.91,404,17,3,0,1.042,1.273,0,0.289,0
2026-07-02T17:47:59+08:00,8.81,304,17,3,0,1.047,1.295,0,-0.152,0
2026-07-02T17:50:24+08:00,4.55,828,17,3,2,1.113,1.37,0,-0.276,0
2026-07-02T18:08:12+08:00,3.81,340,18,3,0,1.148,0.421,0,-0.317,0
2026-07-02T18:12:29+08:00,11.46,197,18,3,3,1.116,2.097,0,1.423,0
2026-07-02T18:18:37+08:00,4.09,34,18,3,1,1.117,1.294,0,1.318,0
2026-07-02T18:22:22+08:00,3.14,285,18,3,3,1.02,0.876,0,-0.491,0
2026-07-02T18:35:12+08:00,0.46,14,18,3,1,1.055,0.123,0,-2.862,0
2026-07-02T18:36:03+08:00,3.18,54,18,3,1,1.047,0.275,0,-0.098,0
2026-07-02T18:51:06+08:00,1.69,33,18,3,1,1.064,0.453,0,1.898,0
2026-07-02T19:02:54+08:00,7.04,121,19,3,3,1.027,1.116,0,0.176,0
2026-07-02T19:12:18+08:00,6.08,1019,19,3,0,1.006,1.011,0,1.49,0
2026-07-02T19:15:44+08:00,1.82,44,19,3,1,1.018,0.488,0,-0.135,0
2026-07-02T19:16:21+08:00,2.7,42,19,3,1,1.032,0.76,0,0.989,0
2026-07-02T20:11:09+08:00,8.54,412,20,3,3,1.142,2.328,0,-1.076,0
2026-07-02T20:12:15+08:00,7.13,566,20,3,0,1.039,2.37,0,0.387,0
2026-07-02T20:25:52+08:00,8.89,559,20,3,3,1.066,1.673,0,-0.336,0
2026-07-02T20:27:19+08:00,0.1,2889,20,3,2,1.043,0.003,0,-0.348,1
2026-07-02T20:31:34+08:00,2.58,18,20,3,1,1.041,0.444,0,0.559,0
2026-07-02T20:37:11+08:00,1.07,940,20,3,0,1.101,0.096,0,-0.034,0
2026-07-02T21:07:07+08:00,0.22,814,21,3,1,1.063,0.007,0,-0.784,1
2026-07-02T21:15:31+08:00,6.94,325,21,3,2,1.049,1.925,0,0.296,0
2026-07-02T22:00:47+08:00,7.41,116,22,3,2,1.118,1.893,1,0.342,0
2026-07-02T22:17:09+08:00,0.12,2195,22,3,2,1.29,0.004,1,0.009,1
2026-07-02T22:47:25+08:00,2.67,20,22,3,1,1.083,0.567,1,-1.252,0
2026-07-02T22:48:01+08:00,5.99,758,22,3,0,1.034,0.423,1,-0.392,0
2026-07-02T22:48:26+08:00,1.8,87,22,3,2,1.138,0.42,1,1.529,0
2026-07-02T22:52:52+08:00,2.43,10,22,3,1,1.045,0.259,1,-1.48,0
2026-07-02T22:57:56+08:00,13.53,1091,22,3,3,1.124,0.787,1,2.333,0
2026-07-02T23:35:47+08:00,0.45,2158,23,3,2,1.139,0.015,1,-0.251,1
2026-07-02T23:38:10+08:00,7.56,199,23,3,0,1.145,1.643,1,-1.169,0
2026-07-03T01:20:14+08:00,0.2,1327,1,4,1,1.192,0.004,1,0.729,1
2026-07-03T03:10:12+08:00,8.51,106,3,4,0,1.028,2.249,1,-0.265,0
2026-07-03T05:16:40+08:00,0.27,2175,5,4,2,1.027,0.003,0,0.114,1
2026-07-03T05:56:56+08:00,0.47,900,5,4,3,1.15,0.018,0,-0.367,1
2026-07-03T06:07:08+08:00,5.93,655,6,4,2,1.078,1.726,0,-0.097,0
2026-07-03T06:08:50+08:00,5.24,32,6,4,2,1.064,0.853,0,-0.236,0
2026-07-03T06:19:00+08:00,8.8,41,6,4,0,1.148,1.716,0,0.794,0
2026-07-03T06:45:53+08:00,9.27,560,6,4,3,1.137,1.295,0,0.106,0
2026-07-03T06:51:27+08:00,7.09,29,6,4,2,1.085,0.779,0,-1.947,0
2026-07-03T06:59:09+08:00,7.3,316,6,4,2,1.057,0.935,0,-1.628,0
2026-07-03T07:30:55+08:00,7.59,698,7,4,3,1.078,1.891,0,0.743,0
2026-07-03T07:33:30+08:00,8.79,88,7,4,2,1.101,0.526,0,0.613,0
2026-07-03T07:53:53+08:00,11.25,163,7,4,2,1.174,0.245,0,0.339,2
2026-07-03T08:02:09+08:00,3.61,20,8,4,1,1.026,1.217,0,2.511,0
2026-07-03T08:02:27+08:00,5.0,35,8,4,0,1.038,0.254,0,-0.911,0
2026-07-03T08:03:17+08:00,8.09,202,8,4,2,1.141,2.648,0,0.179,0
2026-07-03T08:06:34+08:00,8.78,721,8,4,3,1.073,1.453,0,0.505,0
2026-07-03T08:08:58+08:00,3.97,799,8,4,0,1.014,0.448,0,1.463,0
2026-07-03T08:11:20+08:00,6.33,499,8,4,2,1.013,2.059,0,-0.436,0
2026-07-03T08:17:05+08:00,19.37,262,8,4,3,1.013,0.238,0,-0.489,2
2026-07-03T08:19:04+08:00,2.34,10,8,4,1,1.055,0.475,0,-0.944,0
2026-07-03T08:19:39+08:00,4.71,66,8,4,0,1.106,0.636,0,0.849,0
2026-07-03T08:19:57+08:00,6.28,227,8,4,2,1.008,1.88,0,-0.962,0
2026-07-03T08:21:38+08:00,2.38,69,8,4,1,1.052,0.189,0,-0.45,0
2026-07-03T08:24:54+08:00,7.95,205,8,4,2,1.149,0.938,0,-0.834,0
2026-07-03T08:33:33+08:00,1.95,23,8,4,1,1.131,0.391,0,1.361,0
2026-07-03T08:47:06+08:00,9.79,178,8,4,3,1.019,3.257,0,-0.636,0
2026-07-03T08:52:08+08:00,3.05,293,8,4,2,1.049,0.657,0,0.92,0
2026-07-03T09:08:16+08:00,0.24,1848,9,4,1,1.272,0.011,0,-0.044,1
2026-07-03T09:13:17+08:00,3.63,65,9,4,2,1.147,1.028,0,-0.494,0
2026-07-03T09:33:13+08:00,3.56,196,9,4,1,1.106,1.16,0,1.689,0
2026-07-03T09:51:22+08:00,22.15,3071,9,4,2,1.056,0.248,0,0.279,2
2026-07-03T09:55:10+08:00,10.47,82,9,4,3,1.101,1.916,0,-0.64,0
2026-07-03T09:59:38+08:00,8.33,115,9,4,3,1.126,1.543,0,0.889,0
2026-07-03T10:03:06+08:00,2.24,9,10,4,1,1.087,0.517,0,0.547,0
2026-07-03T10:16:40+08:00,2.94,223,10,4,0,1.102,0.454,0,0.038,0
2026-07-03T10:23:58+08:00,6.03,211,10,4,0,1.103,1.038,0,0.952,0
2026-07-03T10:35:54+08:00,7.77,167,10,4,2,1.131,1.275,0,-0.332,0
2026-07-03T10:45:15+08:00,4.17,316,10,4,0,1.006,1.254,0,-2.067,0
2026-07-03T10:58:44+08:00,8.57,43,10,4,0,1.037,1.032,0,-0.063,0
2026-07-03T11:19:19+08:00,8.43,660,11,4,0,1.114,1.152,0,1.408,0
2026-07-03T11:19:38+08:00,0.29,645,11,4,3,1.262,0.002,0,0.175,1
2026-07-03T11:23:14+08:00,3.88,32,11,4,1,1.059,0.63,0,-1.837,0
2026-07-03T11:32:43+08:00,0.29,780,11,4,2,1.027,0.004,0,-0.388,1
2026-07-03T11:48:44+08:00,8.46,372,11,4,3,1.017,0.52,0,-0.037,0
2026-07-03T12:16:14+08:00,6.25,52,12,4,0,1.022,2.049,0,-0.027,0
2026-07-03T12:16:59+08:00,1.76,11,12,4,1,1.068,0.264,0,-0.884,0
2026-07-03T12:36:36+08:00,8.36,148,12,4,0,1.147,1.715,0,0.898,0
2026-07-03T13:20:03+08:00,10.62,236,13,4,3,1.06,3.21,0,1.167,0
2026-07-03T13:24:57+08:00,7.64,70,13,4,0,1.017,1.611,0,-0.953,0
2026-07-03T13:59:14+08:00,2.53,108,13,4,1,1.012,0.368,0,-1.155,0
2026-07-03T14:05:35+08:00,2.89,120,14,4,1,1.049,0.795,0,0.04,0
2026-07-03T14:13:58+08:00,5.32,96,14,4,2,1.062,1.783,0,-0.145,0
2026-07-03T14:19:53+08:00,3.62,77,14,4,1,1.107,0.215,0,-1.79,0
2026-07-03T14:30:22+08:00,1.47,17,14,4,1,1.088,0.353,0,-2.176,0
2026-07-03T15:32:31+08:00,6.04,85,15,4,2,1.031,1.215,0,-0.319,0
2026-07-03T15:50:45+08:00,6.31,353,15,4,2,1.045,1.811,0,-1.663,0
2026-07-03T16:09:13+08:00,10.82,324,16,4,3,1.134,0.994,0,-2.991,0
2026-07-03T16:39:16+08:00,6.04,103,16,4,2,1.115,1.899,0,0.133,0
2026-07-03T17:25:16+08:00,2.71,80,17,4,1,1.112,0.58,0,-0.928,0
2026-07-03T17:49:07+08:00,6.06,111,17,4,2,1.104,1.76,0,-0.218,0
2026-07-03T18:00:27+08:00,7.28,630,18,4,0,1.139,0.77,0,0.227,0
2026-07-03T18:13:10+08:00,9.17,684,18,4,3,1.099,3.047,0,0.237,0
2026-07-03T18:18:14+08:00,12.23,268,18,4,2,1.134,0.139,0,0.278,2
2026-07-03T18:33:09+08:00,3.39,89,18,4,1,1.021,0.974,0,0.381,0
2026-07-03T18:34:55+08:00,3.15,21,18,4,1,1.128,0.557,0,0.893,0
2026-07-03T18:50:00+08:00,8.65,215,18,4,2,1.14,2.537,0,1.624,0
2026-07-03T18:58:18+08:00,3.45,24,18,4,1,1.066,0.772,0,-0.987,0
2026-07-03T19:06:16+08:00,12.78,441,19,4,3,1.004,2.162,0,0.962,0
2026-07-03T19:22:58+08:00,2.61,136,19,4,3,1.131,0.8,0,-0.893,0
2026-07-03T19:23:25+08:00,4.17,262,19,4,0,1.038,0.651,0,-0.136,0
2026-07-03T19:41:03+08:00,8.42,393,19,4,0,1.05,1.312,0,0.155,0
2026-07-03T20:07:08+08:00,8.06,362,20,4,3,1.111,2.506,0,-0.806,0
2026-07-03T20:10:21+08:00,1.33,32,20,4,1,1.092,0.229,0,-2.131,0
2026-07-03T20:29:26+08:00,2.58,9,20,4,1,1.037,0.498,0,0.79,0
2026-07-03T20:29:51+08:00,5.25,668,20,4,0,1.031,1.036,0,-0.284,0
2026-07-03T20:44:12+08:00,5.63,59,20,4,2,1.079,0.993,0,-0.02,0
2026-07-03T20:56:23+08:00,10.76,1747,20,4,3,1.142,2.368,0,2.313,0
2026-07-03T20:56:33+08:00,4.41,266,20,4,2,1.101,1.227,0,-1.575,0
2026-07-03T21:05:53+08:00,10.74,585,21,4,3,1.056,1.029,0,0.712,0
2026-07-03T21:13:19+08:00,4.77,91,21,4,0,1.005,0.645,0,1.641,0
2026-07-03T22:16:51+08:00,0.41,912,22,4,3,1.266,0.011,1,-0.363,1
2026-07-03T22:19:13+08:00,6.99,44,22,4,0,1.108,1.473,1,-1.335,0
2026-07-03T22:29:10+08:00,9.69,432,22,4,3,1.078,3.096,1,1.379,0
2026-07-03T22:34:24+08:00,7.01,173,22,4,2,1.059,1.152,1,-2.531,0
2026-07-03T22:47:00+08:00,0.33,1464,22,4,3,1.044,0.009,1,-0.199,1
2026-07-03T22:54:11+08:00,9.1,197,22,4,0,1.128,0.885,1,0.559,0
2026-07-03T23:15:23+08:00,4.97,484,23,4,0,1.135,1.061,1,-0.787,0
2026-07-03T23:21:43+08:00,8.63,738,23,4,3,1.183,0.097,1,0.257,2
2026-07-03T23:54:55+08:00,7.54,434,23,4,3,1.11,1.055,1,-0.802,0
2026-07-04T00:21:46+08:00,19.66,323,0,5,1,1.158,0.522,1,0.274,2
2026-07-04T02:42:47+08:00,0.1,2253,2,5,2,1.132,0.002,1,-0.006,1
2026-07-04T03:06:03+08:00,0.46,1402,3,5,3,1.174,0.021,1,0.084,1
2026-07-04T03:10:23+08:00,20.08,452,3,5,1,1.192,0.595,1,-0.457,2
2026-07-04T05:44:38+08:00,0.45,977,5,5,2,1.038,0.014,0,0.088,1
2026-07-04T06:12:46+08:00,13.32,178,6,5,0,1.082,1.828,0,-1.591,0
2026-07-04T06:17:52+08:00,10.16,851,6,5,3,1.029,2.68,0,-0.54,0
2026-07-04T06:28:29+08:00,7.81,158,6,5,2,1.096,2.041,0,-0.583,0
2026-07-04T06:36:47+08:00,2.21,8,6,5,1,1.029,0.317,0,2.262,0
2026-07-04T06:49:17+08:00,5.26,260,6,5,3,1.032,1.089,0,-1.059,0
2026-07-04T06:55:33+08:00,9.03,112,6,5,2,1.125,2.958,0,0.047,0
2026-07-04T06:56:00+08:00,1.43,79,6,5,1,1.1,0.474,0,0.201,0
2026-07-04T07:00:39+08:00,5.58,286,7,5,2,1.101,0.735,0,1.44,0
2026-07-04T07:05:23+08:00,5.5,705,7,5,0,1.123,1.794,0,-0.564,0
2026-07-04T07:09:16+08:00,7.49,133,7,5,0,1.144,1.826,0,1.949,0
2026-07-04T07:25:39+08:00,0.38,1289,7,5,3,1.198,0.003,0,0.137,1
2026-07-04T07:27:53+08:00,10.41,2003,7,5,3,1.006,0.419,0,0.434,2
2026-07-04T07:44:34+08:00,1.46,89,7,5,0,1.143,0.277,0,-0.784,0
2026-07-04T08:02:52+08:00,3.15,165,8,5,1,1.087,0.619,0,-1.285,0
2026-07-04T08:04:23+08:00,5.51,162,8,5,2,1.012,0.733,0,1.361,0
2026-07-04T08:06:46+08:00,8.38,187,8,5,3,1.002,0.774,0,0.088,0
